text,label
I feel very sad and lonely these days,1
Life feels meaningless and exhausting,1
I am happy and enjoying my life,0
Everything is going well and I feel positive,0
I feel depressed and hopeless,1
I don't feel like talking to anyone,1
Today is a great day full of joy,0
I feel anxious and stressed all the time,1
I am confident and motivated,0
Nothing makes me happy anymore,1
I enjoy spending time with friends,0
I feel empty and tired mentally,1
I am excited about my future,0
I cry without any reason,1
I feel calm and relaxed today,0
I hate my life and feel useless,1
I feel energetic and productive,0
I feel isolated and worthless,1
I love my life and family,0
I am struggling emotionally every day,1
